id,topic,mc,sentence,suffix,prefix,url,
The American Bar Association brings more harm than good,American Bar Association,"In the United States, the American Bar Association does not mandate a particular curriculum for 1Ls.",q_cl,0.802,0,https://en.wikipedia.org/wiki/Law_school_in_the_United_States,
The American Bar Association brings more harm than good,American Bar Association,"However, American Bar Association clarified this in 2008, clearing the way for the development of legal process outsourcing [REF].",q_mc,0.795,0,https://en.wikipedia.org/wiki/Legal_outsourcing,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association has found that the evidence indicates that minority children are the most likely to suffer the negative consequences of zero tolerance policies.,q_cl,0.795,0,https://en.wikipedia.org/wiki/Zero_tolerance_(schools),
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association has noted that ""an attorney independent of the agency is a 'key component to an ethical adoption.'""[REF]",q_mc,0.791,0,https://en.wikipedia.org/wiki/Raymond_W._Godwin,
The American Bar Association brings more harm than good,American Bar Association,Membership in the American Bar Association is not a prerequisite.,q_mc,0.79,0,https://en.wikipedia.org/wiki/Solosez,
The American Bar Association brings more harm than good,American Bar Association,"Although the American Bar Association determined her to be ""not qualified,""[REF] she was confirmed by the Senate on June 24, 2004 and received her commission on July 8, 2004, thereby becoming the first Hispanic judge in the Eastern District [REF].",q_cl,0.786,0,https://en.wikipedia.org/wiki/Dora_Irizarry,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association is a private sector voluntary professional association.,q_mc,0.784,0,https://en.wikipedia.org/wiki/American_Bar_Association_Model_Rules_of_Professional_Conduct,
The American Bar Association brings more harm than good,American Bar Association,A paper in the peer reviewed Tax Lawyer journal from the American Bar Association asserts that illegal immigrants contribute more in taxes than they cost in social services [REF].,q_mc,0.784,0,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States,
The American Bar Association brings more harm than good,American Bar Association,"1956 - At NYCLA's urging, the American Bar Association removes questions about race from its membership application [REF].",q_mc,0.781,0,https://en.wikipedia.org/wiki/New_York_County_Lawyers'_Association,
The American Bar Association brings more harm than good,American Bar Association,"The Mission of the American Bar Association is to be the national representative of the legal profession, serving the public and the profession by promoting justice, professional excellence and respect for the law.""[REF]",q_mc,0.778,0,https://en.wikipedia.org/wiki/American_Bar_Association,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association acknowledged CEB's blog as one of the top 100 law blogs in 2011 [REF].,q_mc,0.777,0,https://en.wikipedia.org/wiki/CEB_(Continuing_Education_of_the_Bar),
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association unanimously rated him ""well qualified"" for the position.",q_mc,0.777,0,https://en.wikipedia.org/wiki/Larry_Alan_Burns,
The American Bar Association brings more harm than good,American Bar Association,"When a partner resigns from his or her law firm, American Bar Association and local bar rules require his or her clients to be notified, giving them a chance to decide whether to follow the lawyer to the new firm, or stay.",q_mc,0.763,0,https://en.wikipedia.org/wiki/Book_of_business_(law),
The American Bar Association brings more harm than good,American Bar Association,"In order to obtain, and maintain, accreditation through the American Bar Association (ABA), law schools must meet certain standards set by the ABA [REF].",q_cl,0.761,0,https://en.wikipedia.org/wiki/Stetson_University_College_of_Law,
The American Bar Association brings more harm than good,American Bar Association,A report published in 2012 by the American Bar Association argues that airline safety is undermined by such prosecutions because its threat would impede the investigative processes [REF].,q_cl,0.758,0,https://en.wikipedia.org/wiki/Hapag-Lloyd_Flight_3378,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association gave her a unanimous ""well qualified"" assessment, its highest mark for professional qualification [REF].",q_mc,0.75,0,https://en.wikipedia.org/wiki/Sonia_Sotomayor,
The American Bar Association brings more harm than good,American Bar Association,"Ultimately, on a scale of well-qualified, qualified, or unqualified, 12 members of the Standing Committee on the Federal Judiciary voted that he was ""qualified"", one abstained, and the other two voted ""not qualified"", for an overall vote of qualified.",q_mc,0.748,0,https://en.wikipedia.org/wiki/Clarence_Thomas_Supreme_Court_nomination,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association opposes ""zero tolerance policies that mandate either expulsion or referral of students to juvenile or criminal court, without regard to the circumstances or nature of the offense or the students history.""[REF] .",q_cl,0.748,0,https://en.wikipedia.org/wiki/Zero_tolerance_(schools),
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association has recognized Counterfeit Chic as a top 100 law blog,[REF] and Counterfeit Chic has also received attention in multiple media outlets, including the New York Times,[REF] ABC News,[REF] and The Tyra Banks Show.",q_mc,0.747,0,https://en.wikipedia.org/wiki/Susan_Scafidi,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association newsletter quickly pointed out possible adverse consequences for Indian gaming and tribal sovereignty.,q_mc,0.745,0,https://en.wikipedia.org/wiki/Carcieri_v._Salazar,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association refused to endorse such a method.,q_mc,0.745,0,https://en.wikipedia.org/wiki/Claude_E._Welch,
The American Bar Association brings more harm than good,American Bar Association,"On August 15, 2011 the American Bar Association passed a resolution recommending that law schools require supporting information such as evidence of tribal enrollment or connection with Native American culture [REF].",q_mc,0.742,0,https://en.wikipedia.org/wiki/Contemporary_Native_American_issues_in_the_United_States,
The American Bar Association brings more harm than good,American Bar Association,"Even conservative elements, such as the American Bar Association began to campaign for civil liberties, which were long considered to be the domain of left-leaning organizations.",q_mc,0.74,0,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association passed a resolution supporting the new bill [REF].,q_mc,0.74,0,https://en.wikipedia.org/wiki/Lilly_Ledbetter_Fair_Pay_Act_of_2009,
The American Bar Association brings more harm than good,American Bar Association,"However, Nixon decided against Lillie's nomination after the American Bar Association found Lillie to be unqualified [REF].",q_mc,0.738,0,https://en.wikipedia.org/wiki/John_Marshall_Harlan_II,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association has issued disclaimers of law school rating systems.,q_mc,0.738,0,https://en.wikipedia.org/wiki/Law_school_rankings_in_the_United_States,
The American Bar Association brings more harm than good,American Bar Association,"In 1989, the American Bar Association rated the twelve best trial films of all time, and provided a detailed and reasoned legal evaluation for its choices [REF].",q_mc,0.735,0,https://en.wikipedia.org/wiki/Trial_film,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association has released a statement on minimum requirements for law firms delivering legal service online.,q_mc,0.734,0,https://en.wikipedia.org/wiki/Virtual_law_firm,
The American Bar Association brings more harm than good,American Bar Association,"In 1989 the American Bar Association's House of Delegates adopted a resolution stating that ""the American Bar Association and each of its entities should use gender-neutral language in all documents establishing policy and procedure.""",q_strict,0.731,0,https://en.wikipedia.org/wiki/Gender_neutrality_in_English,
The American Bar Association brings more harm than good,American Bar Association,"American Bar Association guidelines discourage overcharging, but do not prohibit it [REF].",q_cl,0.725,0,https://en.wikipedia.org/wiki/Overcharging_(law),
The American Bar Association brings more harm than good,American Bar Association,"Given that the vast majority of criminal sentencing is done at the state level, the American Law Institute and the American Bar Association have each recommended such systems for all the states, and nearly half the states presently have such systems, although significant variations exist among them.",q_strict,0.724,0,https://en.wikipedia.org/wiki/United_States_Federal_Sentencing_Guidelines,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association defines a branch as ""the creation of a different law school.""[REF] .",q_mc,0.723,0,https://en.wikipedia.org/wiki/Savannah_Law_School,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association best practice standards, state court e-file initiatives, and the Health Insurance Portability and Accountability Act (HIPAA) all appear to be driving demand for greater levels of online accountability within the legal, medical, and insurance industries.",q_mc,0.72,0,https://en.wikipedia.org/wiki/Lawdex,
The American Bar Association brings more harm than good,American Bar Association,"Nelson noted that the American Bar Association denounced signing statements as presenting ""grave harm to the separation of powers doctrine, and the system of checks and balances, that have sustained our democracy for more than two centuries.""[REF][REF]",q_strict,0.71,0,https://en.wikipedia.org/wiki/Bad_for_Democracy,
The American Bar Association brings more harm than good,American Bar Association,"2016 - An ethics rule of the American Bar Association now forbids comments or actions that single out someone on the basis of disability, as well as other factors [REF].",q_mc,0.71,0,https://en.wikipedia.org/wiki/Timeline_of_disability_rights_in_the_United_States,
The American Bar Association brings more harm than good,American Bar Association,"The American Bar Association (ABA) has a Section of Environment, Energy, and Resources, which is a ""forum for lawyers working in areas related to environmental law, natural resources law, and energy law.""[REF]",q_mc,0.71,0,https://en.wikipedia.org/wiki/United_States_energy_law,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association first developed standards on pretrial release as part of their Criminal Justice Standards in 1964 [REF].,q_mc,0.71,0,https://en.wikipedia.org/wiki/Pretrial_services_programs,
The American Bar Association brings more harm than good,American Bar Association,"A resolution recommending approval of UCITA by the American Bar Association (ABA) has been withdrawn by the NCCUSL in 2003, indicating that UCITA lacks the consensus which is necessary for it to become a uniform law [REF].",q_cl,0.707,0,https://en.wikipedia.org/wiki/Uniform_Computer_Information_Transactions_Act,
The American Bar Association brings more harm than good,American Bar Association,The American Bar Association recommends bollards as effective protection against car ramming attacks [REF].,q_mc,0.703,0,https://en.wikipedia.org/wiki/Vehicle-ramming_attack,
The American Bar Association brings more harm than good,American Bar Association,"An American Bar Association chair later said, ""Her articles were important, not because they were radically new but because they helped formulate something that had been inchoate.""[REF]",q_mc,0.702,0,https://en.wikipedia.org/wiki/Hillary_Clinton,
Digital rights management brings more harm than good,Digital rights management,"Generally, they claim that digital rights management is meant to prevent illegal copying of the e-book.",q_that,0.965,1,https://en.wikipedia.org/wiki/E-book,
Digital rights management brings more harm than good,Digital rights management,"However, in many cases, it is also possible that digital rights management will result in the complete denial of access by the purchaser to the e-book [REF].",q_strict,0.947,1,https://en.wikipedia.org/wiki/E-book,
Digital rights management brings more harm than good,Digital rights management,"In an article for Information & Communications Technology Law, Peter Holm suggests that perhaps GamersGate's best DRM-free defense against piracy is simply that it makes the legal purchase of games easy and cheap [REF].",q_strict,0.929,0,https://en.wikipedia.org/wiki/GamersGate,
Digital rights management brings more harm than good,Digital rights management,Some academics believe future digital rights management systems may become sophisticated enough to permit exceptions to copyright law [REF].,q_mc,0.922,0,https://en.wikipedia.org/wiki/Shyster_(expert_system),
Digital rights management brings more harm than good,Digital rights management,"He noted that the EULA does not mention the software, and he asserted emphatically that the software is illegitimate and that digital rights management had ""gone too far"" [REF].",q_strict,0.891,1,https://en.wikipedia.org/wiki/Sony_BMG_copy_protection_rootkit_scandal,
Digital rights management brings more harm than good,Digital rights management,"However, the DRM protection was cracked within a week [REF].",q_mc,0.888,0,https://en.wikipedia.org/wiki/AllOfMP3,
Digital rights management brings more harm than good,Digital rights management,"Andrew T. Forcehimes argues that the way we think about copyrights is inconsistent, because every argument for (physical) public libraries is also an argument for stealing ebooks and every argument against stealing ebooks would also be an argument against libraries [REF].",q_that,0.858,0,https://en.wikipedia.org/wiki/Opposition_to_copyright,
Digital rights management brings more harm than good,Digital rights management,The use of digital rights management is not universally accepted.,q_mc,0.853,0,https://en.wikipedia.org/wiki/Digital_rights_management,
Digital rights management brings more harm than good,Digital rights management,"This can cause confusion, because digital rights management (DRM) technologies are typically associated with business to consumer systems designed to protect rich media such as music and video.",q_mc,0.844,0,https://en.wikipedia.org/wiki/Information_rights_management,
Digital rights management brings more harm than good,Digital rights management,"No digital rights management (DRM) protection was placed on the game because ""we .. believe that any game will be cracked, no matter how we try to protect it, so our philosophy is that adding DRM or anything similar only annoys the people who actually pay for it.""",q_cl,0.838,0,https://en.wikipedia.org/wiki/And_Yet_It_Moves,
Digital rights management brings more harm than good,Digital rights management,Copyright issues and technological limitations imposed by digital rights management are the strongest barriers to this transformation [REF].,q_mc,0.819,1,https://en.wikipedia.org/wiki/Trends_in_library_usage,
Digital rights management brings more harm than good,Digital rights management,The FSF also argues that ACTA will make it harder for users of free operating systems to play non-free media because digital rights management (DRM) protected media would not be legally playable with free software [REF].,q_that,0.814,0,https://en.wikipedia.org/wiki/Anti-Counterfeiting_Trade_Agreement,
Digital rights management brings more harm than good,Digital rights management,Digital rights management is another example of this product differentiation strategy [REF].,q_mc,0.811,0,https://en.wikipedia.org/wiki/Crippleware,
Digital rights management brings more harm than good,Digital rights management,"Writer and computer scientist Peter Gutmann has expressed concerns that the digital rights management scheme in Microsoft's Windows Vista operating system may limit the availability of the documentation required to write open drivers as it ""requires that the operational details of the device be kept confidential.""[REF] .",q_that,0.81,0,https://en.wikipedia.org/wiki/Free_and_open-source_graphics_device_driver,
Digital rights management brings more harm than good,Digital rights management,The DRM protection was met with a negative response as it had not been disclosed previous to the game's release [REF].,q_mc,0.809,0,https://en.wikipedia.org/wiki/Final_Fight_(video_game),
Digital rights management brings more harm than good,Digital rights management,IT-Pol believes Digital Rights Management causes problems for normal citizens and therefore is not in the interest of the citizens.,q_cl,0.808,1,https://en.wikipedia.org/wiki/IT-Political_Association_of_Denmark,
Digital rights management brings more harm than good,Digital rights management,It's really painfully obvious what people want - DRM-free music they can do what they want with.,q_cl,0.805,0,https://en.wikipedia.org/wiki/Year_Zero_(album),
Digital rights management brings more harm than good,Digital rights management,She has spoken out in favor of Digital Rights Management and suggested TV may be a contributing factor in childhood obesity [REF].,q_mc,0.803,0,https://en.wikipedia.org/wiki/Deborah_Tate,
Digital rights management brings more harm than good,Digital rights management,Reaction to this digital rights management scheme was extremely negative.,q_mc,0.801,1,https://en.wikipedia.org/wiki/Xbox_One,
Digital rights management brings more harm than good,Digital rights management,"Trusted Computing would allow companies to create a digital rights management (DRM) system which would be very hard to circumvent, though not impossible.",q_cl,0.799,0,https://en.wikipedia.org/wiki/Trusted_Computing,
Digital rights management brings more harm than good,Digital rights management,"Press releases said in 2003 that the console would be released that year, and the digital rights management software would be provided by DiStream [REF].",q_that,0.796,0,https://en.wikipedia.org/wiki/Phantom_Entertainment,
Digital rights management brings more harm than good,Digital rights management,"Digital rights management have proved to be the most unpopular with gamers, as a measure to counter piracy [REF].",q_mc,0.796,1,https://en.wikipedia.org/wiki/Video_game_industry,
Digital rights management brings more harm than good,Digital rights management,"DRM-free digital distribution is the default distribution model of the game, and its episodes can only be purchased as parts of a complete season pass, not separately from one another [REF].",q_mc,0.785,0,https://en.wikipedia.org/wiki/Dreamfall_Chapters,
Digital rights management brings more harm than good,Digital rights management,"Digital rights management is a more general term because it includes all sorts of management of works, including copy restrictions.",q_mc,0.782,0,https://en.wikipedia.org/wiki/Copy_protection,
Digital rights management brings more harm than good,Digital rights management,Digital rights management is sometimes applied to control information.,q_mc,0.775,0,https://en.wikipedia.org/wiki/Data_room,
Digital rights management brings more harm than good,Digital rights management,"Removes DRM protection legally, because it is capable to bypass restriction using a unique audio and video converting mechanism .",q_mc,0.774,0,https://en.wikipedia.org/wiki/WMA_Convert,
Digital rights management brings more harm than good,Digital rights management,"The digital rights management product became a success and by 1993 generated sales of $4,000,000.",q_mc,0.773,1,https://en.wikipedia.org/wiki/Aladdin_Knowledge_Systems,
Digital rights management brings more harm than good,Digital rights management,Rights management: What intellectual property rights must be observed?[REF] .,q_cl,0.772,0,https://en.wikipedia.org/wiki/Preservation_metadata,
Digital rights management brings more harm than good,Digital rights management,"On June 16, 2011, the Neverwinter Nights digital rights management (DRM) authentication server was temporarily taken down as a reaction by Electronic Arts to the Neverwinter Nights store being hacked and customer data stolen.",q_mc,0.77,0,https://en.wikipedia.org/wiki/Neverwinter_Nights,
Digital rights management brings more harm than good,Digital rights management,"Other legal and technical aspects, such as software patents and digital rights management may restrict users in exercising their rights, and thus prevent software from being free [REF].",q_mc,0.767,0,https://en.wikipedia.org/wiki/Free_software,
Digital rights management brings more harm than good,Digital rights management,"(ii) to distribute, import for distribution, broadcast or communicate to the public, without authority, works or copies of works knowing that electronic rights management information has been removed or altered without authority."" .",q_that,0.762,0,https://en.wikipedia.org/wiki/Anti-circumvention,
Digital rights management brings more harm than good,Digital rights management,"Tracks under digital rights management cannot be changed, and neither can tracks with a missing source link.",q_cl,0.76,0,https://en.wikipedia.org/wiki/SonicStage,
Digital rights management brings more harm than good,Digital rights management,Digital files are inherently capable of being copied perfectly in unlimited quantities, digital rights management aims to reduce intellectual property rights violations by using hardware or cryptographic techniques to limit copying or playback.,q_mc,0.758,1,https://en.wikipedia.org/wiki/Crippleware
Digital rights management brings more harm than good,Digital rights management,digital rights management (DRM) is used to digitally copyright material and allows users to use that media for specific cases.,q_mc,0.757,0,https://en.wikipedia.org/wiki/Digital_media,
Digital rights management brings more harm than good,Digital rights management,"In this step, the read-only structures of digital rights management systems force some limitations on content management, as they do not allow authors to change protected content in their life cycle.",q_cl,0.753,0,https://en.wikipedia.org/wiki/Content_management,
Digital rights management brings more harm than good,Digital rights management,The abolition of digital rights management represented a major shift for the industry.,q_mc,0.75,0,https://en.wikipedia.org/wiki/Open_Music_Model,
Digital rights management brings more harm than good,Digital rights management,"He believes that while copyright infringement is an issue, blaming it for poor sales - and insisting on ""stupid""[REF] forms of digital rights management - ""hides other underlying causes.""[REF]",q_that,0.746,0,https://en.wikipedia.org/wiki/Brad_Wardell,
Digital rights management brings more harm than good,Digital rights management,Digital rights management (DRM) schemes are various access control technologies that are used to restrict usage of proprietary hardware and copyrighted works [REF].,q_cl,0.745,0,https://en.wikipedia.org/wiki/Digital_rights_management,
Digital rights management brings more harm than good,Digital rights management,DRM-protection has to be removed prior to release and only the 0day ZIP/DIZ packaging can be used.,q_mc,0.735,0,https://en.wikipedia.org/wiki/Standard_(warez),
Digital rights management brings more harm than good,Digital rights management,Digital rights management (DRM) is a type of technology that is intended to control the use of digital content and devices after purchase.,q_mc,0.735,0,https://en.wikipedia.org/wiki/Video_game_controversies,
Digital rights management brings more harm than good,Digital rights management,The extra layer of digital rights management (DRM) security allows broadcast operators to enable consumers to share their content on multimedia devices without the risk of piracy [REF].,q_cl,0.735,1,https://en.wikipedia.org/wiki/Digital_Living_Network_Alliance,
Digital rights management brings more harm than good,Digital rights management,"The FTC alleged that the companies decided to rig the market once non-DRM (digital rights management) digital songs were allowed to be downloaded, starting May 2008 (previously, only DRM songs were allowed on the market).",q_that,0.734,0,https://en.wikipedia.org/wiki/Fair_Trade_Commission_(South_Korea),
Digital rights management brings more harm than good,Digital rights management,The law Copyright and Related Rights Regulations 2003 makes circumventing DRM protection measures legal for the purpose of interoperability but not copyright infringement.,q_mc,0.733,0,https://en.wikipedia.org/wiki/IOS_jailbreaking,
Digital rights management brings more harm than good,Digital rights management,"The term ""copyright protection"" is occasionally seen in this usage, but is an error; copy protection or Digital Rights Management is the usual term.",q_mc,0.731,0,https://en.wikipedia.org/wiki/Copyright_protection,
Digital rights management brings more harm than good,Digital rights management,"With no single clearly defined or open standard for the digital rights management used in the above methods, there is no 100% compatible way of delivering restricted or time-sensitive content to any device or player.",q_cl,0.727,0,https://en.wikipedia.org/wiki/Adaptive_bitrate_streaming,
Digital rights management brings more harm than good,Digital rights management,"Digital rights management and watermarking are used in content syndication and media asset management, to manage and secure intellectual property rights and copyrights.",q_mc,0.725,0,https://en.wikipedia.org/wiki/Enterprise_content_management,
Digital rights management brings more harm than good,Digital rights management,"One study of the politics of digital rights management policy concluded, ""Since its 2001 founding, Public Knowledge has risen to prominence as the pre-eminent DC-based policy advocacy organization within the strong fair use coalition.""[REF] .",q_mc,0.725,0,https://en.wikipedia.org/wiki/Public_Knowledge,
Digital rights management brings more harm than good,Digital rights management,This rights management function means it is not possible to upgrade NTG3 based vehicles to NTG3.5.,q_mc,0.725,0,https://en.wikipedia.org/wiki/Comand_APS,
Digital rights management brings more harm than good,Digital rights management,"Rights Management allows document ""leasing"" for a finite period of time before it has to reconnect with the server.",q_mc,0.72,0,https://en.wikipedia.org/wiki/Adobe_LiveCycle,
Digital rights management brings more harm than good,Digital rights management,"Removal of digital rights management (DRM) from DVDs using HandBrake was possible by installing VLC, a media player application that includes the libdvdcss library.",q_mc,0.716,0,https://en.wikipedia.org/wiki/HandBrake,
